satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,INCLINATION,ORBIT_CLASS,collision_score,pc_annual,pc_annual_pct,n_events_total,n_high_risk,n_medium_risk,n_low_risk,n_emergency,avg_miss_distance_m,min_miss_distance_m,max_pc_event,max_pc_event_pct,events_per_month_estimated,data_quality,data_source,extrapolated,data_period_days,imputation_confidence,n_peers_used
44761,STARLINK-1056,US,PAYLOAD,318.0,53.04,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44762,STARLINK-1057,US,PAYLOAD,180.5,53.03,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44765,STARLINK-1060,US,PAYLOAD,418.5,53.05,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44768,STARLINK-1063,US,PAYLOAD,547.0,53.05,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44769,STARLINK-1064,US,PAYLOAD,181.0,53.03,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44770,STARLINK-1065,US,PAYLOAD,172.0,52.98,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44771,STARLINK-1067,US,PAYLOAD,547.5,53.06,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44772,STARLINK-1068,US,PAYLOAD,547.0,53.05,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44777,JILIN-1 GAOFEN 2A,PRC,PAYLOAD,473.5,97.52,LEO,77.4,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_12,False,0,MEDIUM,12.0
44779,NINGXIA-1 1,PRC,PAYLOAD,887.0,45.01,LEO,66.3,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
44780,NINGXIA-1 2,PRC,PAYLOAD,887.0,45.01,LEO,66.3,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
44781,NINGXIA-1 3,PRC,PAYLOAD,886.5,45.0,LEO,66.3,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
44782,NINGXIA-1 4,PRC,PAYLOAD,887.0,45.01,LEO,66.3,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
44783,NINGXIA-1 5,PRC,PAYLOAD,887.0,45.01,LEO,66.3,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
44785,KL-ALPHA A,GER,PAYLOAD,1050.5,88.91,LEO,94.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_11,False,0,MEDIUM,11.0
44786,KL-ALPHA B,GER,PAYLOAD,1050.5,88.89,LEO,94.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_11,False,0,MEDIUM,11.0
44790,RWASAT-1,RWA,PAYLOAD,185.5,51.6,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
