satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,ORBIT_CLASS,bors_score,age_factor,tri,operator_heritage_index,infant_mortality_flag,cqi,hi,mri,svi,age_years,expected_lifetime_years,launch_mass_kg,contractor_tier,operator_tier,purpose
4405,OPS 4720,US,PAYLOAD,188.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.4,12,800.0,3,3,Communications
4406,OPS 8520,US,PAYLOAD,179.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.4,12,800.0,3,3,Communications
4407,SOYUZ 9,CIS,PAYLOAD,197.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.37,12,800.0,3,3,Communications
4409,COSMOS 346,CIS,PAYLOAD,231.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.35,12,800.0,3,3,Communications
4411,COSMOS 347,CIS,PAYLOAD,201.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.34,12,800.0,3,3,Communications
4413,COSMOS 348,CIS,PAYLOAD,170.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.34,12,800.0,3,3,Communications
4416,COSMOS 349,CIS,PAYLOAD,258.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.33,12,800.0,3,3,Communications
4419,METEOR 1-5,CIS,PAYLOAD,838.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.31,12,800.0,3,3,Communications
4422,OPS 6820,US,PAYLOAD,213.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.3,12,800.0,3,3,Communications
4425,COSMOS 350,CIS,PAYLOAD,216.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.3,12,800.0,3,3,Communications
4427,COSMOS 351,CIS,PAYLOAD,164.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.3,12,800.0,3,3,Communications
4446,COSMOS 352,CIS,PAYLOAD,246.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.27,12,800.0,3,3,Communications
4455,COSMOS 353,CIS,PAYLOAD,254.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.27,12,800.0,3,3,Communications
4477,OPS 4324,US,PAYLOAD,178.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.23,12,800.0,3,3,Communications
4482,INTERCOSMOS 3,CIS,PAYLOAD,201.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.19,12,800.0,3,3,Communications
4484,COSMOS 355,CIS,PAYLOAD,256.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.19,12,800.0,3,3,Communications
4487,COSMOS 356,CIS,PAYLOAD,197.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.18,12,800.0,3,3,Communications
4492,OPS 7874,US,PAYLOAD,199.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.16,12,800.0,3,3,Communications
4495,COSMOS 357,CIS,PAYLOAD,174.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.15,12,800.0,3,3,Communications
4501,COSMOS 359,CIS,PAYLOAD,206.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.15,12,800.0,3,3,Communications
4503,OPS 8329,US,PAYLOAD,169.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.13,12,800.0,3,3,Communications
4507,NNSS 19 (TRANSIT 19),US,PAYLOAD,1068.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.13,12,800.0,3,3,Communications
4508,COSMOS 360,CIS,PAYLOAD,227.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.13,12,800.0,3,3,Communications
4512,OPS 0203 (DMSP 5A F2),US,PAYLOAD,770.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.11,12,800.0,3,3,Communications
4524,COSMOS 361,CIS,PAYLOAD,273.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.1,12,800.0,3,3,Communications
4536,COSMOS 362,CIS,PAYLOAD,216.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.08,12,800.0,3,3,Communications
4538,COSMOS 363,CIS,PAYLOAD,241.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.07,12,800.0,3,3,Communications
4553,COSMOS 364,CIS,PAYLOAD,249.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.06,12,800.0,3,3,Communications
4561,COSMOS 366,CIS,PAYLOAD,250.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.04,12,800.0,3,3,Communications
4564,COSMOS 367,CIS,PAYLOAD,969.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.03,12,800.0,3,3,Communications
4569,MOLNIYA 1-15,CIS,PAYLOAD,1807.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.04,12,800.0,3,3,Communications
4571,COSMOS 368,CIS,PAYLOAD,297.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.02,12,800.0,3,3,Communications
