NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_SITE,LAUNCH_YEAR,PERIOD,INCLINATION,APOGEE,PERIGEE,ALTITUDE_MEAN_KM,ORBIT_CLASS
208,MERCURY ATLAS 5,US,PAYLOAD,D,1961-11-29,AFETR,1961,88.3,32.6,237.0,158.0,197.5,LEO
213,DISCOVERER 36,US,PAYLOAD,D,1961-12-12,AFWTR,1961,88.5,81.18,207.0,194.0,200.5,LEO
214,OSCAR 1,US,PAYLOAD,D,1961-12-12,AFWTR,1961,88.63,81.14,207.0,207.0,207.0,LEO
215,DISCOVERER 36 CAPSULE,US,PAYLOAD,D,1961-12-12,AFWTR,1961,90.14,81.21,327.0,235.0,281.0,LEO
217,SAMOS 5,US,PAYLOAD,D,1961-12-22,AFWTR,1961,88.12,89.66,182.0,182.0,182.0,LEO
226,TIROS 4,US,PAYLOAD,-,1962-02-08,AFETR,1962,99.52,48.3,790.0,681.0,735.5,LEO
240,MERCURY ATLAS 6,US,PAYLOAD,D,1962-02-20,AFETR,1962,88.48,32.54,249.0,150.0,199.5,LEO
242,FTV 2301,US,PAYLOAD,D,1962-02-21,AFWTR,1962,88.39,81.94,220.0,169.0,194.5,LEO
247,DISCOVERER 38,US,PAYLOAD,D,1962-02-27,AFWTR,1962,88.32,82.23,201.0,182.0,191.5,LEO
255,OSO 1,US,PAYLOAD,D,1962-03-07,AFETR,1962,87.42,32.81,147.0,147.0,147.0,LEO
256,SAMOS 6,US,PAYLOAD,D,1962-03-07,AFWTR,1962,87.58,90.89,155.0,155.0,155.0,LEO
266,COSMOS 1 (SPUTNIK 11),CIS,PAYLOAD,D,1962-03-16,KYMSC,1962,89.74,48.99,341.0,182.0,261.5,LEO
269,COSMOS 2 (SPUTNIK 12),CIS,PAYLOAD,D,1962-04-06,TYMSC,1962,88.37,48.86,231.0,157.0,194.0,LEO
276,FTV 1154,US,PAYLOAD,D,1962-04-18,AFWTR,1962,88.1,73.56,181.0,180.0,180.5,LEO
281,COSMOS 3 (SPUTNIK 13),CIS,PAYLOAD,D,1962-04-24,KYMSC,1962,88.96,48.95,253.0,193.0,223.0,LEO
285,ARIEL 1 (UK-1),UK,PAYLOAD,D,1962-04-26,AFETR,1962,88.25,53.76,191.0,185.0,188.0,LEO
286,SAMOS 7 (FTV 2401),US,PAYLOAD,D,1962-04-26,AFWTR,1962,,,,,,
287,COSMOS 4 (SPUTNIK 14),CIS,PAYLOAD,D,1962-04-26,TYMSC,1962,90.6,65.0,205.0,185.0,195.0,LEO
290,FTV 1125,US,PAYLOAD,D,1962-04-28,AFWTR,1962,89.86,73.07,361.0,174.0,267.5,LEO
292,FTV 1126,US,PAYLOAD,D,1962-05-15,AFWTR,1962,88.51,82.29,208.0,194.0,201.0,LEO
295,MERCURY ATLAS 7,US,PAYLOAD,D,1962-05-24,AFETR,1962,88.6,32.6,250.0,161.0,205.5,LEO
297,COSMOS 5 (SPUTNIK 15),CIS,PAYLOAD,D,1962-05-28,KYMSC,1962,88.64,48.96,271.0,144.0,207.5,LEO
302,FTV 1128,US,PAYLOAD,D,1962-05-30,AFWTR,1962,87.9,74.1,171.0,171.0,171.0,LEO
304,FTV 1127,US,PAYLOAD,D,1962-06-02,AFWTR,1962,88.83,74.25,243.0,189.0,216.0,LEO
305,OSCAR 2 (OSCAR II),US,PAYLOAD,D,1962-06-02,AFWTR,1962,88.51,74.27,292.0,110.0,201.0,LEO
307,SAMOS 8 (FTV 2402),US,PAYLOAD,D,1962-06-17,AFWTR,1962,88.48,96.3,199.0,199.0,199.0,LEO
308,FTV 2312,US,PAYLOAD,D,1962-06-18,AFWTR,1962,87.8,82.15,170.0,161.0,165.5,LEO
309,TIROS 5,US,PAYLOAD,-,1962-06-19,AFETR,1962,98.62,58.09,819.0,567.0,693.0,LEO
315,FTV 1129,US,PAYLOAD,D,1962-06-23,AFWTR,1962,88.24,75.09,187.0,187.0,187.0,LEO
316,FTV 1151,US,PAYLOAD,D,1962-06-28,AFWTR,1962,87.74,76.01,163.0,163.0,163.0,LEO
338,COSMOS 6 (SPUTNIK 16),CIS,PAYLOAD,D,1962-06-30,KYMSC,1962,88.28,48.95,189.0,189.0,189.0,LEO
343,SAMOS 9 (FTV 2403),US,PAYLOAD,D,1962-07-18,AFWTR,1962,88.28,96.11,215.0,163.0,189.0,LEO
344,FTV 1130,US,PAYLOAD,D,1962-07-21,AFWTR,1962,87.59,70.29,155.0,155.0,155.0,LEO
345,FTV 1131,US,PAYLOAD,D,1962-07-28,AFWTR,1962,88.27,71.09,190.0,188.0,189.0,LEO
346,COSMOS 7 (SPUTNIK 17),CIS,PAYLOAD,D,1962-07-28,TYMSC,1962,90.04,64.95,352.0,201.0,276.5,LEO
360,FTV 1152,US,PAYLOAD,D,1962-08-02,AFWTR,1962,88.58,82.25,215.0,194.0,204.5,LEO
361,SAMOS 10 (FTV 2404),US,PAYLOAD,D,1962-08-05,AFWTR,1962,88.55,96.3,203.0,203.0,203.0,LEO
363,VOSTOK 3,CIS,PAYLOAD,D,1962-08-11,TYMSC,1962,88.08,64.96,200.0,158.0,179.0,LEO
365,VOSTOK 4,CIS,PAYLOAD,D,1962-08-12,TYMSC,1962,88.22,65.0,210.0,163.0,186.5,LEO
367,COSMOS 8 (SPUTNIK 18),CIS,PAYLOAD,D,1962-08-18,KYMSC,1962,88.04,48.92,188.0,167.0,177.5,LEO
369,FTV 3502,US,PAYLOAD,,1962-08-23,AFWTR,1962,96.57,98.49,650.0,539.0,594.5,LEO
371,SPUTNIK 19,CIS,PAYLOAD,D,1962-08-25,TYMSC,1962,87.5,64.86,151.0,151.0,151.0,LEO
377,FTV 1153,US,PAYLOAD,D,1962-08-29,AFWTR,1962,87.9,65.21,174.0,167.0,170.5,LEO
381,SPUTNIK 20,CIS,PAYLOAD,D,1962-09-01,TYMSC,1962,88.82,64.8,247.0,186.0,216.5,LEO
385,FTV 1132,US,PAYLOAD,D,1962-09-01,AFWTR,1962,88.88,82.79,236.0,202.0,219.0,LEO
389,SPUTNIK 21,CIS,PAYLOAD,D,1962-09-12,TYMSC,1962,88.4,64.9,218.0,179.0,198.5,LEO
396,FTV 1133 & ERS 2,US,PAYLOAD,D,1962-09-17,AFWTR,1962,88.06,81.83,179.0,179.0,179.0,LEO
397,TIROS 6,US,PAYLOAD,-,1962-09-18,AFETR,1962,96.32,58.3,590.0,575.0,582.5,LEO
422,COSMOS 9,CIS,PAYLOAD,D,1962-09-27,TYMSC,1962,90.9,64.99,340.0,297.0,318.5,LEO
424,ALOUETTE 1 (S-27),CA,PAYLOAD,,1962-09-29,AFWTR,1962,105.15,80.47,1018.0,985.0,1001.5,LEO
427,FTV 1154,US,PAYLOAD,D,1962-09-29,AFWTR,1962,89.07,65.4,260.0,197.0,228.5,LEO
433,MERCURY ATLAS 8,US,PAYLOAD,D,1962-10-03,AFETR,1962,88.92,32.55,286.0,156.0,221.0,LEO
436,FTV 1134,US,PAYLOAD,D,1962-10-09,AFWTR,1962,88.31,81.96,191.0,191.0,191.0,LEO
437,COSMOS 10,CIS,PAYLOAD,D,1962-10-17,TYMSC,1962,90.17,65.0,369.0,197.0,283.0,LEO
441,COSMOS 11,CIS,PAYLOAD,D,1962-10-20,KYMSC,1962,87.73,48.93,166.0,158.0,162.0,LEO
443,SPUTNIK 22,CIS,PAYLOAD,D,1962-10-24,TYMSC,1962,89.13,65.11,261.0,202.0,231.5,LEO
444,STARAD (FTV 1401),US,PAYLOAD,D,1962-10-26,AFWTR,1962,90.06,71.21,398.0,157.0,277.5,LEO
445,EXPLORER 15 (SERB 53B),US,PAYLOAD,D,1962-10-27,AFETR,1962,94.12,18.02,800.0,152.0,476.0,LEO
446,ANNA 1B,US,PAYLOAD,,1962-10-31,AFETR,1962,107.84,50.14,1179.0,1074.0,1126.5,LEO
451,SPUTNIK 24,CIS,PAYLOAD,D,1962-11-04,TYMSC,1962,87.9,64.85,171.0,171.0,171.0,LEO
453,FTV 1136,US,PAYLOAD,D,1962-11-05,AFWTR,1962,88.92,74.97,260.0,182.0,221.0,LEO
455,FTV 2405,US,PAYLOAD,D,1962-11-11,AFWTR,1962,88.7,96.0,292.0,128.0,210.0,LEO
481,FTV 1135,US,PAYLOAD,D,1962-11-24,AFWTR,1962,88.34,65.13,193.0,193.0,193.0,LEO
490,FTV 1155,US,PAYLOAD,D,1962-12-04,AFWTR,1962,88.36,65.19,262.0,124.0,193.0,LEO
502,BLACK SPHERE,US,PAYLOAD,D,1962-12-13,AFWTR,1962,88.9,70.23,270.0,171.0,220.5,LEO
504,INJUN 3,US,PAYLOAD,D,1962-12-13,AFWTR,1962,87.95,70.21,185.0,161.0,173.0,LEO
505,FTV 1156,US,PAYLOAD,D,1962-12-14,AFWTR,1962,89.01,70.95,274.0,177.0,225.5,LEO
506,EXPLORER 16,US,PAYLOAD,,1962-12-16,WLPIS,1962,103.92,52.0,1146.0,742.0,944.0,LEO
507,SURCAL 1,US,PAYLOAD,D,1962-12-13,AFWTR,1962,91.21,70.24,475.0,193.0,334.0,LEO
508,SURCAL 1A,US,PAYLOAD,D,1962-12-13,AFWTR,1962,88.67,70.24,253.0,164.0,208.5,LEO
509,TRANSIT 5A,US,PAYLOAD,D,1962-12-19,AFWTR,1962,88.5,90.55,203.0,197.0,200.0,LEO
513,CALSPHERE 1A,US,PAYLOAD,D,1962-12-13,AFWTR,1962,88.25,70.16,216.0,159.0,187.5,LEO
517,COSMOS 12,CIS,PAYLOAD,D,1962-12-22,TYMSC,1962,90.39,64.92,388.0,200.0,294.0,LEO
521,SPUTNIK 25,CIS,PAYLOAD,D,1963-01-04,TYMSC,1963,87.53,64.63,152.0,152.0,152.0,LEO
525,FTV 1157,US,PAYLOAD,D,1963-01-07,AFWTR,1963,88.7,82.19,256.0,164.0,210.0,LEO
527,FTV 2313,US,PAYLOAD,D,1963-01-16,AFWTR,1963,88.19,81.88,185.0,185.0,185.0,LEO
