Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
Flock-4a 8,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 9,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 10,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 11,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 12,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 13,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 14,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 15,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 16,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 17,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 18,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 19,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Flock-4a 20,Planet Labs,US,3U,2019-04-01,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
Lemur-2 96 JohanLoran (FM97),Spire,US,3U,2019-04-01,"Reentered, Operational","Constellation for GPS-RO weather data, AIS and ADS-B.",
Lemur-2 97 Beaudacious (FM98),Spire,US,3U,2019-04-01,"Reentered, Operational","Constellation for GPS-RO weather data, AIS and ADS-B.",
Lemur-2 98 Elham (FM99),Spire,US,3U,2019-04-01,"Reentered, Operational","Constellation for GPS-RO weather data, AIS and ADS-B.",
Lemur-2 99 Victor-Andrew (FM100),Spire,US,3U,2019-04-01,"Reentered, Operational","Constellation for GPS-RO weather data, AIS and ADS-B.",
"M6P (LacunaSat-1, BTD-1)",NanoAvionics,Lithuania,6U,2019-04-01,"Reentered, Operational",Hosted payload rideshare mission. LoRaWAN IoT network in space. Payloads from Lacuna Space and Blink Astro.,
AeroCube-10A (JimSat),Aerospace Corporation,US,1.5U,2019-04-17,"Reentered, Operational",Demonstrate satellite-to-satellite pointing and deployment of small atmospheric probes.,
AeroCube-10B (DougSat),Aerospace Corporation,US,1.5U,2019-04-17,"Reentered, Operational",Demonstrate satellite-to-satellite pointing and deployment of small atmospheric probes.,
EntrySat,ISAE Institut Supérieur de l'Aéronautique et de l'Espace,France,2U,2019-04-17,"Reentered, Was operational",Part of QB50 to study lower termosphere and study atmospheric re-entry.,
"IOD-1 GEMS (Global Environmental Monitoring System, OMS IOD Mission 1, IOD 1 Mission)",Orbital Micro Systems,UK,3U,2019-04-17,"Reentered, Operational",Commercial constellation to provide weather data.,
KrakSat (KRAKsat),AGH University of Science and Technology,Poland,1U,2019-04-17,"Reentered, Was operational",Demostrate ferrofluid based attitude control.,
NepaliSat-1 (BIRDS-3),Kyushu Institute of Technology,Nepal,1U,2019-04-17,"Reentered, Operational",Remote Data Collection based on low powered LoRa modulation for demonstration.,
Raavana-1 (BIRDS-3),Kyushu Institute of Technology,Sri Lanka,1U,2019-04-17,"Reentered, Operational",Remote Data Collection based on low powered LoRa modulation for demonstration.,
"SASSI2 (SASSI-2, SASSI^2, Student Aerothermal Spectrometer Satellite of Illinois and Indiana)",Purdue University,US,3U,2019-04-17,"Reentered, No signal",Characterize the flow and radiation generated by the diffuse bow shock formed during high-speed flight through the upper atmosphere.,
Seeker 1.0 (Seeker Robotic External CubeSat Inspection Vehicle DTO),NASA Johnson Space Center,US,3U,2019-04-17,"Reentered, Was operational",Free-flying robot poised to make its first test inspection in orbit with the Cygnus station cargo resupply vehicle.,
SpooQy-1,National University of Singapore,Singapore,3U,2019-04-17,"Reentered, Operational",Demonstrate the generation of polarisation-entangled photon pairs in space.,
Światowid (Swiatowid),SatRev,Poland,2U,2019-04-17,"Reentered, Operational",Earth observation constellation demonstration and 3D printed structure.,
ThinSat-1A,Virginia Space,US,ThinSat D+4T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1B,Virginia Space,US,ThinSat 3T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1C,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1D,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1E,Virginia Space,US,ThinSat D+4T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1F,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1G,Virginia Space,US,ThinSat 3T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1H,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1I,Virginia Space,US,ThinSat D+4T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1J,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1K,Virginia Space,US,ThinSat 3T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
ThinSat-1L,Virginia Space,US,ThinSat 6T,2019-04-17,"Reentered, Operational, ?",ThinSat satellite platform for educational training.,
Uguisu (BIRDS-3),Kyushu Institute of Technology,Japan,1U,2019-04-17,"Reentered, Operational",Remote Data Collection based on low powered LoRa modulation for demonstration of remote data collection plus camera.,
"VCC 1 (Virginia Cubesat Constellation 1, Aeternitas)",Old Dominion University,US,1U,2019-04-17,"Reentered, No signal",In-situ quantification of atmospheric drag and communicate positions across constellation.,
"VCC 2 (Virginia Cubesat Constellation 2, Ceres)",Virginia Tech,US,1U,2019-04-17,"Reentered, No signal",In-situ quantification of atmospheric drag and communicate positions across constellation.,
"VCC 3 (Virginia Cubesat Constellation 3, Libertas)",University of Virginia,US,1U,2019-04-17,"Reentered, Was semi-operational",In-situ quantification of atmospheric drag and communicate positions across constellation.,
"Falcon ODE (AFOTEC-1, Falcon Orbital Debris Experiment, Air Force Operational Test and Evaluation Center, SFERES, Space Fence Evaluation of Radar EffectivenesS)",Air Force Academy,US,1U,2019-05-03,"Reentered, Operational, ?",Evaluate ground-based tracking of space objects and educational mission.,
SPARC-1 (Space Plug and Play Architecture Research CubeSat-1),Air Force Research Laboratory (AFRL),US,6U,2019-05-03,"Reentered, Operational",Demonstrate Agile Space Radio well as Space Situational Awareness for military utility.,
"Tianqi-3 (Tiange 3, Tianqi yi hao, Wenchang IOT-1, Apocalypse 3, Tao Xingzhi)",Guodian Gaoke,China,6U,2019-06-05,Unknown,Demonstration mission for IoT constellation to launch 38 by end of 2020.,
"Xiaoxiang-1 04 (Xiaoxiang-1 04 xing, Louxing, Lou Xing, Xiaoxiang No. 04 star, Tianyi-13, TY-13)",Spacety,China,6U,2019-06-05,Operational,Full-color miniature remote sensing camera and deorbit drag sail.,
Armadillo (Attitude Related Maneuvers And Debris Instrument in Low (L) Orbit),University of Texas at Austin,US,3U,2019-06-25,"Reentered, Operational",Characterize in-situ sub-millimeter level dust and debris particles in LEO.,
"BricSat 2 (USNA-P1, BricSat-2, BRICSat-D, Ballistic Reinforced Communication Satellite, PSat B, ParkinsonSat B, USNA-14)",US Naval Academy Satellite Lab,US,1.5U,2019-06-25,"Reentered, Operational",Demonstrate a newly designed micro propulsion system.,
"CP9 (LEO, Launch Environment Observer, CP-9)",California Polytechnic State University (Cal Poly),US,2U,2019-06-25,"Reentered, Operational",Measure and record in-situ telemetry data from within the P-POD during launch.,
"E-TBEx A (TBEX-A, TBEx, Enhanced Tandem Beacon Experiment, Tandem Beacon Experiment)",University of Michigan,US,3U,2019-06-25,"Reentered, Operational",Study how the dynamics and processes in the troposphere can cause variability in the behavior of the upper atmosphere and ionosphere.,
"E-TBEx B (TBEX-B. TBEx, Enhanced Tandem Beacon Experiment, Tandem Beacon Experiment)",University of Michigan,US,3U,2019-06-25,"Reentered, Operational",Study how the dynamics and processes in the troposphere can cause variability in the behavior of the upper atmosphere and ionosphere.,
"FalconSAT-7 (DOTSI, Peregrine)",Air Force Academy,US,3U,2019-06-25,"Reentered, Unknown",Solar telescope with the deployable Peregrine photon-sieve optic.,
"LightSail 2 (LightSail-B, LightSail-2)",The Planetary Society,US,3U,2019-06-25,"Reentered, Operational",Demonstrate the deployment of a 32 m2 solar sail from a 3-unit CubeSat platform.,
Prometheus 2 Mass Dummy,USSOCOM (US Special Operations Command),US,1.5U,2019-06-25,"Reentered, Passive",Demonstrate improved CubeSat platform.,
Prometheus 2.6,USSOCOM (US Special Operations Command),US,1.5U,2019-06-25,"Reentered, Operational, ?",Demonstrate improved CubeSat platform.,
"PSAT2 (PSAT-2, ParkinsonSat-2, PSAT 2, USNA-15)",US Naval Academy Satellite Lab,US,1.5U,2019-06-25,"Reentered, Operational",Amateur radio payload for APRS communication.,
Stangsat,Merritt Island High School,US,1U,2019-06-25,"Reentered, Was operational, ?",Primary mission is to measure shock and vibration data during launch.,
"TEPCE A (Ren, Tether Electrodynamics Propulsion CubeSat Experiment)",US Naval Research Laboratory,US,1.5U,2019-06-25,"Reentered, Operational",Joined by a 1 km tether to test electrodynamic tether propulsion.,
"TEPCE B (Stimpy, Tether Electrodynamics Propulsion CubeSat Experiment)",US Naval Research Laboratory,US,1.5U,2019-06-25,"Reentered, Operational",Joined by a 1 km tether to test electrodynamic tether propulsion.,
ACRUX-1,Melbourne Space Program,Australia,1U,2019-06-29,"Reentered, Semi-operational",Educational training and demonstrate CubeSat platform technologies.,
Painani-1,Mexico Secretariat of National Defense (SEDENA),Mexico,3U,2019-06-29,"Reentered, Operational",Carry a low resolution camera and proposes an S Band downlink using frequency hopping technology for the images.,
Prometheus 2.7 (Prometheus-B2),USSOCOM (US Special Operations Command),US,1.5U,2019-06-29,"Reentered, Operational, ?",Demonstrate improved CubeSat platform.,
"Prometheus 2.9 (Prometheus-B2, 2-9)",USSOCOM (US Special Operations Command),US,1.5U,2019-06-29,"Reentered, Operational, ?",Demonstrate improved CubeSat platform.,
SpaceBEE-8 (FM12),Swarm Technologies,US,1U,2019-06-29,"Reentered, Operational",World’s smallest two-way communications satellites for IoT.,
SpaceBEE-9 (FM13),Swarm Technologies,US,1U,2019-06-29,"Reentered, Operational",World’s smallest two-way communications satellites for IoT.,
AmGU-1 (AmurSat),Amur State University,Russia,3U,2019-07-05,"Reentered, Operational",Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,
BEESAT-9 (TUBSAT-17),Technical University of Berlin,Germany,1U,2019-07-05,"Reentered, Operational",Educational training and demonstrate CubeSat platform technologies plus camera.,
"BEESAT-10 (TUBSAT-18, PiNaSys II)",Technical University of Berlin,Germany,0.25U,2019-07-05,"Operational, ?",Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
"BEESAT-11 (TUBSAT-19, PiNaSys II)",Technical University of Berlin,Germany,0.25U,2019-07-05,"Operational, ?",Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
