NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_YEAR,AGE_YEARS,ALTITUDE_MEAN_KM,INCLINATION,APOGEE,PERIGEE,PERIOD,ORBIT_CLASS,LAUNCH_MASS_KG,MASS_SOURCE,EXPECTED_LIFETIME_YEARS,CONTRACTOR_TIER,OPERATOR_TIER,PURPOSE,DATA_COMPLETENESS_SCORE,MASS_ESTIMATED,TIER_INFERRED,PURPOSE_INFERRED,LIFETIME_ESTIMATED
91,SPUTNIK 9,CIS,PAYLOAD,D,1961-03-09,1961,64.59958932238193,167.0,64.93,213.0,121.0,87.83,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
95,SPUTNIK 10,CIS,PAYLOAD,D,1961-03-25,1961,64.55578370978782,176.0,65.0,176.0,176.0,88.0,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
100,DISCOVERER 23,US,PAYLOAD,D,1961-04-08,1961,64.51745379876797,248.0,82.23,268.0,228.0,89.47,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
102,DISCOVERER 23 CAPSULE,US,PAYLOAD,D,1961-04-08,1961,64.51745379876797,189.0,81.88,189.0,189.0,88.27,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
103,VOSTOK 1,CIS,PAYLOAD,D,1961-04-12,1961,64.50650239561944,241.0,64.95,314.0,168.0,89.33,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
107,EXPLORER 11,US,PAYLOAD,,1961-04-27,1961,64.46543463381246,824.0,28.79,1185.0,463.0,101.37,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
108,DISCOVERER 25,US,PAYLOAD,D,1961-06-16,1961,64.32854209445586,187.0,82.11,187.0,187.0,88.23,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
116,TRANSIT 4A,US,PAYLOAD,,1961-06-29,1961,64.29295003422314,921.0,66.81,971.0,871.0,103.43,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
117,SOLRAD 3 & INJUN 1,US,PAYLOAD,,1961-06-29,1961,64.29295003422314,928.0,66.81,980.0,876.0,103.59,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
160,DISCOVERER 26,US,PAYLOAD,D,1961-07-07,1961,64.27104722792608,224.5,82.89,267.0,182.0,88.99,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
162,TIROS 3,US,PAYLOAD,-,1961-07-12,1961,64.25735797399042,741.5,47.9,773.0,710.0,99.64,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
168,VOSTOK 2,CIS,PAYLOAD,D,1961-08-06,1961,64.18891170431212,196.5,64.84,239.0,154.0,88.42,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
173,RANGER 1,US,PAYLOAD,D,1961-08-23,1961,64.14236824093086,339.0,32.93,506.0,172.0,91.31,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
